name,label,layer,token_position,pooling_mode,pc_1,pc_2,pc_3
future_sparsity__layer_10__all_context__per_variate,future_sparsity,10,all_context,per_variate,8.482535,-2.1357908,-0.76800555
future_sparsity__layer_10__all_context__series_mean,future_sparsity,10,all_context,series_mean,7.8098683,-2.1887105,-0.7730847
future_sparsity__layer_10__final_context__per_variate,future_sparsity,10,final_context,per_variate,8.48183,-2.1630886,-0.75024986
future_sparsity__layer_10__final_context__series_mean,future_sparsity,10,final_context,series_mean,7.8159714,-2.1943598,-0.7669781
future_sparsity__layer_10__first_decode__per_variate,future_sparsity,10,first_decode,per_variate,8.372557,-2.1992133,-0.7423609
future_sparsity__layer_10__first_decode__series_mean,future_sparsity,10,first_decode,series_mean,7.772673,-2.2084339,-0.7614016
future_sparsity__layer_11__all_context__per_variate,future_sparsity,11,all_context,per_variate,8.39498,-2.1244268,-0.76356226
future_sparsity__layer_11__all_context__series_mean,future_sparsity,11,all_context,series_mean,7.7798133,-2.1845205,-0.7710292
future_sparsity__layer_11__final_context__per_variate,future_sparsity,11,final_context,per_variate,8.376235,-2.1502059,-0.7474206
future_sparsity__layer_11__final_context__series_mean,future_sparsity,11,final_context,series_mean,7.7821865,-2.1899834,-0.7653879
future_sparsity__layer_11__first_decode__per_variate,future_sparsity,11,first_decode,per_variate,8.25266,-2.1900485,-0.7391359
future_sparsity__layer_11__first_decode__series_mean,future_sparsity,11,first_decode,series_mean,7.728454,-2.2050848,-0.7598734
current_burstiness__layer_-1__all_context__per_variate,current_burstiness,-1,all_context,per_variate,6.221572,-0.26871452,-1.7415899
current_burstiness__layer_-1__all_context__series_mean,current_burstiness,-1,all_context,series_mean,6.8767085,-1.2858322,-1.1818421
current_burstiness__layer_-1__final_context__per_variate,current_burstiness,-1,final_context,per_variate,2.5905862,5.5436354,-5.324108
current_burstiness__layer_-1__final_context__series_mean,current_burstiness,-1,final_context,series_mean,3.8142524,3.6017087,-3.4977863
current_burstiness__layer_-1__first_decode__per_variate,current_burstiness,-1,first_decode,per_variate,7.172155,-1.5912697,-1.0867378
current_burstiness__layer_-1__first_decode__series_mean,current_burstiness,-1,first_decode,series_mean,7.775963,-3.176855,-0.45320922
current_burstiness__layer_0__all_context__per_variate,current_burstiness,0,all_context,per_variate,7.0421205,-0.1695713,-2.6656177
current_burstiness__layer_0__all_context__series_mean,current_burstiness,0,all_context,series_mean,-15.662871,0.6973237,-1.379837
current_burstiness__layer_0__final_context__per_variate,current_burstiness,0,final_context,per_variate,-4.2538342,6.8365006,-5.5310464
current_burstiness__layer_0__final_context__series_mean,current_burstiness,0,final_context,series_mean,-20.734953,6.037267,-2.9437795
current_burstiness__layer_0__first_decode__per_variate,current_burstiness,0,first_decode,per_variate,9.260573,-1.8408712,-3.3130097
current_burstiness__layer_0__first_decode__series_mean,current_burstiness,0,first_decode,series_mean,-5.8585134,-2.3154159,-1.668246
current_burstiness__layer_1__all_context__per_variate,current_burstiness,1,all_context,per_variate,12.623765,0.101539746,-0.19354773
current_burstiness__layer_1__all_context__series_mean,current_burstiness,1,all_context,series_mean,-38.870846,1.055147,-1.7500445
current_burstiness__layer_1__final_context__per_variate,current_burstiness,1,final_context,per_variate,-11.638669,7.4654326,-1.4116476
current_burstiness__layer_1__final_context__series_mean,current_burstiness,1,final_context,series_mean,-50.54259,6.823809,-2.5411556
current_burstiness__layer_1__first_decode__per_variate,current_burstiness,1,first_decode,per_variate,21.801163,-1.7532238,0.23346496
current_burstiness__layer_1__first_decode__series_mean,current_burstiness,1,first_decode,series_mean,-13.439247,-2.5121756,-1.2489666
current_burstiness__layer_2__all_context__per_variate,current_burstiness,2,all_context,per_variate,14.798594,0.3819323,0.33316758
current_burstiness__layer_2__all_context__series_mean,current_burstiness,2,all_context,series_mean,-43.615635,0.12519167,-1.2405039
current_burstiness__layer_2__final_context__per_variate,current_burstiness,2,final_context,per_variate,-11.21138,7.216955,0.055013344
current_burstiness__layer_2__final_context__series_mean,current_burstiness,2,final_context,series_mean,-56.04881,5.6738772,-1.4879508
current_burstiness__layer_2__first_decode__per_variate,current_burstiness,2,first_decode,per_variate,22.813034,-1.1125509,0.37071833
current_burstiness__layer_2__first_decode__series_mean,current_burstiness,2,first_decode,series_mean,-15.983811,-3.0299742,-0.9151387
current_burstiness__layer_3__all_context__per_variate,current_burstiness,3,all_context,per_variate,18.99268,0.0745998,0.9667852
current_burstiness__layer_3__all_context__series_mean,current_burstiness,3,all_context,series_mean,-43.83797,-0.8393233,-0.50885093
current_burstiness__layer_3__final_context__per_variate,current_burstiness,3,final_context,per_variate,-5.52389,6.1513696,1.376586
current_burstiness__layer_3__final_context__series_mean,current_burstiness,3,final_context,series_mean,-54.968887,4.1477227,-0.33124772
current_burstiness__layer_3__first_decode__per_variate,current_burstiness,3,first_decode,per_variate,24.723562,-0.9496833,0.74079204
current_burstiness__layer_3__first_decode__series_mean,current_burstiness,3,first_decode,series_mean,-18.745876,-3.2893043,-0.58020383
current_burstiness__layer_4__all_context__per_variate,current_burstiness,4,all_context,per_variate,24.167229,-0.4373983,1.4432985
current_burstiness__layer_4__all_context__series_mean,current_burstiness,4,all_context,series_mean,-42.043713,-1.750228,0.002255985
current_burstiness__layer_4__final_context__per_variate,current_burstiness,4,final_context,per_variate,3.4403424,4.6089497,2.516244
current_burstiness__layer_4__final_context__series_mean,current_burstiness,4,final_context,series_mean,-50.361244,2.2392297,0.6335069
current_burstiness__layer_4__first_decode__per_variate,current_burstiness,4,first_decode,per_variate,27.168776,-0.9477976,1.0767004
current_burstiness__layer_4__first_decode__series_mean,current_burstiness,4,first_decode,series_mean,-22.114779,-3.2295713,-0.4481962
current_burstiness__layer_5__all_context__per_variate,current_burstiness,5,all_context,per_variate,27.539114,-0.75278306,1.910713
current_burstiness__layer_5__all_context__series_mean,current_burstiness,5,all_context,series_mean,-40.876427,-2.4503446,0.40588936
current_burstiness__layer_5__final_context__per_variate,current_burstiness,5,final_context,per_variate,7.990295,3.737351,3.3131506
current_burstiness__layer_5__final_context__series_mean,current_burstiness,5,final_context,series_mean,-47.680214,0.5511466,1.4708977
current_burstiness__layer_5__first_decode__per_variate,current_burstiness,5,first_decode,per_variate,29.565884,-1.0090264,1.5368956
current_burstiness__layer_5__first_decode__series_mean,current_burstiness,5,first_decode,series_mean,-23.316078,-3.479379,-0.17634767
current_burstiness__layer_6__all_context__per_variate,current_burstiness,6,all_context,per_variate,29.01561,-0.906605,2.1654813
current_burstiness__layer_6__all_context__series_mean,current_burstiness,6,all_context,series_mean,-39.22527,-3.3466964,1.2039851
